,ECG_P_Peaks,ECG_R_Peaks,ECG_T_Peaks
0,1.07,1.194,1.398
1,1.534,1.696,1.824
2,2.446,2.56,2.676
3,2.858,3.092,3.21
4,3.956,4.07,4.18
5,4.414,4.572,4.698
6,5.322,5.436,5.552
7,5.738,5.968,6.078
8,6.824,6.946,7.092
9,7.288,7.448,7.576
10,8.198,8.312,8.43
11,8.636,8.844,9.205
12,9.69,9.822,9.98
13,10.164,10.324,10.452
14,11.068,11.188,11.308
15,11.494,11.72,11.9813
16,12.586,12.698,12.802
17,13.042,13.198,13.328
18,13.948,14.064,14.1293
19,14.362,14.594,14.9307
20,15.446,15.574,15.732
21,15.918,16.074,16.204
22,16.822,16.94,17.056
23,17.244,17.472,17.592
24,18.338,18.45,18.560
25,18.792,18.948,19.078
26,19.698,19.816,19.932
27,20.146,20.346,20.708
28,21.214,21.326,21.484
29,21.668,21.828,21.956
30,22.576,22.692,22.802
31,23.02,23.224,23.346
32,24.094,24.202,24.36
33,24.542,24.704,24.832
34,25.452,25.568,25.68
35,25.9,26.098,26.21
36,26.962,27.078,27.200
37,27.456,27.582,27.708
38,28.33,28.444,28.56
39,28.82,28.976,29.094
40,29.83,29.954,30.114
41,30.298,30.454,30.584
42,31.206,31.32,31.436
43,31.614,31.852,31.968
44,32.702,32.83,32.969
45,33.174,33.33,33.46
46,34.082,34.196,34.31
47,34.620,34.728,35.089
48,35.582,35.706,35.868
49,36.048,36.21,36.336
50,36.954,37.072,37.1367
51,37.402,37.604,37.9373
52,38.452,38.582,38.738
53,38.926,39.082,39.21
54,39.832,39.948,40.0127
55,40.328,40.482,40.8153
56,41.332,41.458,41.618
57,41.804,41.962,42.088
58,42.708,42.824,42.938
59,43.154,43.356,43.6133
60,44.21,44.334,44.465
61,44.676,44.832,44.964
62,45.59,45.7,45.793
63,46.055,46.23,46.344
64,47.09,47.21,47.368
65,47.554,47.712,47.84
66,48.462,48.576,48.686
67,48.904,49.106,49.467
68,49.962,50.086,50.248
69,50.428,50.584,50.716
70,51.34,51.452,51.57
71,51.782,51.984,52.106
72,52.85,52.962,53.101
73,53.31,53.462,53.592
74,54.212,54.328,54.442
75,54.662,54.862,55.219
76,55.706,55.838,55.996
77,56.26,56.338,56.468
78,57.09,57.204,57.324
79,57.562,57.736,57.9973
80,58.592,58.714,58.856
81,59.058,59.214,59.344
82,59.966,60.08,60.176
83,60.412,60.612,60.736
84,61.464,61.59,61.748
85,61.93,62.092,62.22
86,62.838,62.956,63.022
87,63.244,63.486,63.824
88,64.372,64.466,64.626
89,64.808,64.966,65.096
90,65.718,65.832,65.952
91,66.162,66.364,66.726
92,67.214,67.342,67.5
93,67.682,67.844,67.972
94,68.594,68.708,68.826
95,69.006,69.24,69.602
96,70.088,70.218,70.378
97,70.56,70.718,70.848
98,71.47,71.584,71.704
99,71.970,72.116,72.3773
100,72.988,73.094,73.232
101,73.44,73.594,73.724
102,74.35,74.46,74.576
103,74.79,74.992,75.116
104,75.86,75.97,76.126
105,76.314,76.47,76.6
106,77.222,77.336,77.423
107,77.658,77.868,78.038
108,78.738,78.846,78.953
109,79.184,79.348,79.476
110,80.098,80.21,80.324
111,80.54,80.744,80.9993
112,81.604,81.722,81.821
113,82.068,82.222,82.35
114,82.972,83.086,83.162
115,83.465,83.618,83.789
116,84.464,84.598,84.694
117,84.942,85.096,85.228
